Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.105.53.238-192.168.1.38-50563-51820-17,192.168.1.38,51820,172.105.53.238,50563,17,24-11-2022 20:14,115489443,61,1,0,0,0,0,0,0,0,0,0,0,0,0.536845606,1893269.557,1818692.985,5427763,25,1.14E+08,1901144.7,1832991.742,5427763,25,0,0,0,0,0,0,0,0,0,488,8,0.528186806,0.0086588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,1,0,-1,-1,0,0,3.69E+07,3.72E+07,6.32E+07,1.05E+07,5218122.125,142745.1341,5427763,5053071,Normal Traffic
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,24-11-2022 20:14,116117250,95,1,0,0,0,0,0,0,0,0,0,0,0,0.826750547,1222286.842,3342874.461,2.02E+07,0,1.15E+08,1226471.468,3360548.685,2.02E+07,0,0,0,0,0,0,0,0,0,0,0,0,0.818138563,0.008611985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,1,0,-1,-1,0,0,7913921.5,3864677.892,1.25E+07,3177707,1.21E+07,4125006.274,2.02E+07,9413678,Normal Traffic
192.168.1.38-224.0.0.251-5353-5353-17,192.168.1.38,5353,224.0.0.251,5353,17,24-11-2022 20:14,77601442,33,1,11050,45,1331,45,334.8484848,452.4430296,45,45,45,0,142.9741473,0.438136188,2351558.848,4583440.435,2.71E+07,343,7.56E+07,2362539.563,4656339.109,2.71E+07,343,0,0,0,0,0,0,0,0,0,264,8,0.42524983,0.012886358,45,1331,318.2857143,444.2102424,197322.7395,0,0,0,0,0,0,0,0,0,327.6470588,334.8484848,45,0,0,0,0,0,0,33,11050,1,45,-1,-1,33,0,4.45E+07,0,4.45E+07,4.45E+07,1.65E+07,1.49E+07,2.71E+07,6023868,Normal Traffic
192.168.1.41-224.0.0.251-5353-5353-17,192.168.1.41,5353,224.0.0.251,5353,17,24-11-2022 20:14,72891868,6,1,743,487,493,50,123.8333333,180.8539927,487,487,487,0,16.87431031,0.09603266,1.21E+07,1.42E+07,3.27E+07,518,7.29E+07,1.46E+07,1.45E+07,3.27E+07,1023835,0,0,0,0,0,0,0,0,0,48,8,0.082313709,0.013718951,50,493,214.625,227.2116304,51625.125,0,0,0,0,0,0,0,0,0,245.2857143,123.8333333,487,0,0,0,0,0,0,6,743,1,487,-1,-1,6,0,1996852,2823242.618,3993186,518,2.30E+07,1.24E+07,3.27E+07,9009835,Normal Traffic
192.168.1.35-224.0.0.251-5353-5353-17,192.168.1.35,5353,224.0.0.251,5353,17,24-11-2022 20:14,54970987,2,1,253,161,161,92,126.5,48.7903679,161,161,161,0,7.531245528,0.054574243,2.75E+07,657972.0523,2.80E+07,2.70E+07,2.80E+07,2.80E+07,0,2.80E+07,2.80E+07,0,0,0,0,0,0,0,0,0,16,8,0.036382829,0.018191414,92,161,143.75,34.5,1190.25,0,0,0,0,0,0,0,0,0,191.6666667,126.5,161,0,0,0,0,0,0,2,253,1,161,-1,-1,2,0,0,0,0,0,2.75E+07,657972.0523,2.80E+07,2.70E+07,Normal Traffic
192.168.1.49-224.0.0.251-5353-5353-17,192.168.1.49,5353,224.0.0.251,5353,17,24-11-2022 20:14,45756598,5,1,687,493,487,50,137.4,195.4323412,493,493,493,0,25.78863053,0.13112863,9151319.6,1.37E+07,3.29E+07,1207,4.58E+07,1.14E+07,1.47E+07,3.29E+07,921464,0,0,0,0,0,0,0,0,0,40,8,0.109273858,0.021854772,50,493,239,235.7328997,55570,0,0,0,0,0,0,0,0,0,278.8333333,137.4,493,0,0,0,0,0,0,5,687,1,493,-1,-1,5,0,1946010,2750366.779,3890813,1207,2.09E+07,1.69E+07,3.29E+07,9009835,Normal Traffic
192.168.1.38-23.72.32.74-56788-443-6,192.168.1.38,56788,23.72.32.74,443,6,24-11-2022 20:14,370847,12,15,1483,4886,718,0,123.5833333,238.1586402,1448,0,325.7333333,514.5978272,17174.19852,72.80630557,14263.34615,42756.67074,174847,0,365666,33242.36364,64806.56929,180370,0,370653,26475.21429,56415.21782,174847,0,0,0,0,0,384,500,32.35835803,40.44794754,0,1448,227.4642857,415.3247263,172494.6283,0,1,0,0,0,0,0,0,1,235.8888889,123.5833333,325.7333333,0,0,0,0,0,0,12,1483,15,4886,-1,501,5,0,0,0,0,0,0,0,0,0,Normal Traffic
192.168.1.38-23.72.32.74-56788-443-6,192.168.1.38,56788,23.72.32.74,443,6,24-11-2022 20:16,1,0,2,0,31,0,0,0,0,31,0,15.5,21.92031022,3.10E+07,2000000,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,64,0,2000000,0,31,20.66666667,17.89785834,320.3333333,0,0,0,1,1,0,0,0,0,31,0,15.5,0,0,0,0,0,0,0,0,2,31,-1,501,0,0,0,0,0,0,0,0,0,0,Normal Traffic
192.168.1.38-23.72.32.74-56788-443-6,23.72.32.74,443,192.168.1.38,56788,6,24-11-2022 20:16,1591,0,4,0,31,0,0,0,0,31,0,7.75,15.5,19484.60088,2514.142049,530.3333333,138.424468,683,413,0,0,0,0,0,1591,530.3333333,138.424468,683,413,0,0,0,0,0,128,0,2514.142049,0,31,6.2,13.86362146,192.2,1,0,0,0,1,0,0,0,0,7.75,0,7.75,0,0,0,0,0,0,0,0,4,31,-1,2048,0,0,0,0,0,0,0,0,0,0,Normal Traffic
192.168.1.38-74.125.193.95-63818-443-6,74.125.193.95,443,192.168.1.38,63818,6,24-11-2022 20:14,101936162,28,24,796,2636,85,0,28.42857143,34.50327797,1400,0,109.8333333,292.7733456,33.66813045,0.510123189,1998748.275,6076470.651,2.06E+07,0,1.02E+08,3774108.444,8003261.906,2.06E+07,0,1.02E+08,4432007.043,8539566.707,2.07E+07,23,0,1,0,0,896,768,0.274681717,0.235441472,0,1400,66.35849057,200.4613999,40184.77286,0,0,0,1,1,0,0,0,0,67.63461538,28.42857143,109.8333333,0,0,0,0,0,0,28,796,24,2636,-1,2048,13,0,85662,102976.3001,269431,35049,2.02E+07,241721.4934,2.06E+07,2.00E+07,Normal Traffic
192.168.1.38-95.211.254.162-56785-443-6,192.168.1.38,56785,95.211.254.162,443,6,24-11-2022 20:14,110834148,27,15,8303,4064,644,0,307.5185185,325.4123267,578,249,270.9333333,84.94743473,111.5811347,0.378944583,2703271.902,4445592.224,9979295,128,1.11E+08,4262011.923,4971369.952,9979295,22280,1.11E+08,7916706.286,4143930.804,1.01E+07,21710,0,1,0,0,864,480,0.243607232,0.135337351,0,644,301.0465116,264.8307594,70135.33112,0,0,0,1,1,0,0,0,0,308.2142857,307.5185185,270.9333333,0,0,0,0,0,0,27,8303,15,4064,-1,99,13,0,120264.0909,235568.4788,820641,22396,9953226.091,42242.97573,9979295,9851789,Normal Traffic
